db_code,db_name,db_category,db_subcategory,db_unit,excel_sheet,excel_row,excel_name_expected,excel_cell_status,excel_cell_ziel,oos_reason
1,Solarenergie,Solar,,-,2. Erneuerbare,5,Solarenergie,2. Erneuerbare!L5,2. Erneuerbare!M5,
10,Endenergieangebot aus erneuerbaren Quellen gesamt,Endenergie,Erneuerbare Quellen,,2. Erneuerbare,229,Endenergieangebot aus erneuerbaren Quellen gesamt,2. Erneuerbare!L229,2. Erneuerbare!M229,
10.1,Endenergie aus Erneuerbaren Q. gesamt,Endenergie,Erneuerbare Quellen,GWh/a,2. Erneuerbare,230,Endenergie aus Erneuerbaren Q. gesamt,2. Erneuerbare!L230,2. Erneuerbare!M230,
10.2,Strom,Endenergie,Erneuerbare Quellen,alle Anwendungsbereiche,2. Erneuerbare,12,Solarstrom,2. Erneuerbare!L12,2. Erneuerbare!M12,
10.2.1,Stromverbrauch insgesamt,Endenergie,Erneuerbare Quellen,GWh/a,2. Erneuerbare,233,/ Stromverbrauch insgesamt,2. Erneuerbare!L233,2. Erneuerbare!M233,
10.2.2,Anteil Erneuerb. an Stromverbrauch,Endenergie,Erneuerbare Quellen,%,2. Erneuerbare,234,Anteil Erneuerb.an Stromverbrauch,2. Erneuerbare!L234,2. Erneuerbare!M234,
10.3,Kraft/Licht/Inform.Komm.Tech./Kälte,Endenergie,Erneuerbare Quellen,KLIK,2. Erneuerbare,236,Kraft/Licht/Inform.Komm.Tech./Kälte (KLIK),2. Erneuerbare!L236,2. Erneuerbare!M236,
10.3.1,davon Strom,Endenergie,Erneuerbare Quellen,erneuerb. Anteil,2. Erneuerbare,237,davon Strom (erneuerb. Anteil),2. Erneuerbare!L237,2. Erneuerbare!M237,
10.4,Gebäudewärme,Endenergie,Erneuerbare Quellen,GW,2. Erneuerbare,10,Gebäudewärme,2. Erneuerbare!L10,2. Erneuerbare!M10,
10.4.1,davon Brennstoffe,Endenergie,Erneuerbare Quellen,GWh/a,2. Erneuerbare,240,davon Brennstoffe,2. Erneuerbare!L240,2. Erneuerbare!M240,
10.4.1.1,davon Kohlenwasserstoffe,Endenergie,Erneuerbare Quellen,gasförmig,2. Erneuerbare,241,davon Kohlenwasserstoffe (gasförmig),2. Erneuerbare!L241,2. Erneuerbare!M241,
10.4.1.2,davon Kohlenwasserstoffe,Endenergie,Erneuerbare Quellen,flüssig,2. Erneuerbare,241,davon Kohlenwasserstoffe (gasförmig),2. Erneuerbare!L241,2. Erneuerbare!M241,
10.4.1.3,davon Kohlenwasserstoffe,Endenergie,Erneuerbare Quellen,fest,2. Erneuerbare,241,davon Kohlenwasserstoffe (gasförmig),2. Erneuerbare!L241,2. Erneuerbare!M241,
10.4.2,davon Wärme,Endenergie,Erneuerbare Quellen,GWh/a,2. Erneuerbare,245,davon Wärme,2. Erneuerbare!L245,2. Erneuerbare!M245,
10.4.3,davon Strom,Endenergie,Erneuerbare Quellen,erneuerb. Anteil,2. Erneuerbare,237,davon Strom (erneuerb. Anteil),2. Erneuerbare!L237,2. Erneuerbare!M237,
10.5,Prozesswärme,Endenergie,Erneuerbare Quellen,PW,2. Erneuerbare,63,davon für Prozesswärme,2. Erneuerbare!L63,2. Erneuerbare!M63,
10.5.1,davon Brennstoffe,Endenergie,Erneuerbare Quellen,GWh/a,2. Erneuerbare,240,davon Brennstoffe,2. Erneuerbare!L240,2. Erneuerbare!M240,
10.5.1.1,davon Kohlenwasserstoffe,Endenergie,Erneuerbare Quellen,gasförmig,2. Erneuerbare,241,davon Kohlenwasserstoffe (gasförmig),2. Erneuerbare!L241,2. Erneuerbare!M241,
10.5.1.2,davon Wasserstoff,Endenergie,Erneuerbare Quellen,GWh/a,2. Erneuerbare,251,davon Wasserstoff,2. Erneuerbare!L251,2. Erneuerbare!M251,
10.5.1.3,davon Kohlenwasserstoffe,Endenergie,Erneuerbare Quellen,flüssig,2. Erneuerbare,241,davon Kohlenwasserstoffe (gasförmig),2. Erneuerbare!L241,2. Erneuerbare!M241,
10.5.1.4,davon Kohlenwasserstoffe,Endenergie,Erneuerbare Quellen,fest,2. Erneuerbare,241,davon Kohlenwasserstoffe (gasförmig),2. Erneuerbare!L241,2. Erneuerbare!M241,
10.5.2,davon Wärme,Endenergie,Erneuerbare Quellen,GWh/a,2. Erneuerbare,245,davon Wärme,2. Erneuerbare!L245,2. Erneuerbare!M245,
10.5.3,davon Strom,Endenergie,Erneuerbare Quellen,erneuerb. Anteil,2. Erneuerbare,237,davon Strom (erneuerb. Anteil),2. Erneuerbare!L237,2. Erneuerbare!M237,
10.6,Mobile Anwendungen,Endenergie,Erneuerbare Quellen,GWh/a,2. Erneuerbare,258,Mobile Anwendungen,2. Erneuerbare!L258,2. Erneuerbare!M258,
10.6.1,davon Kraftstoffe,Endenergie,Erneuerbare Quellen,GWh/a,2. Erneuerbare,259,davon Kraftstoffe,2. Erneuerbare!L259,2. Erneuerbare!M259,
10.6.1.1,davon Wasserstoff,Endenergie,Erneuerbare Quellen,FC-Traktion,2. Erneuerbare,251,davon Wasserstoff,2. Erneuerbare!L251,2. Erneuerbare!M251,
10.6.1.2,davon Kohlenwasserstoffe,Endenergie,Erneuerbare Quellen,gasförmig,2. Erneuerbare,241,davon Kohlenwasserstoffe (gasförmig),2. Erneuerbare!L241,2. Erneuerbare!M241,
10.6.1.3,davon Kohlenwasserstoffe flüssig,Endenergie,Erneuerbare Quellen,Luftverkehr,2. Erneuerbare,252,davon Kohlenwasserstoffe (flüssig),2. Erneuerbare!L252,2. Erneuerbare!M252,
10.6.2,davon Strom,Endenergie,Erneuerbare Quellen,erneuerb. Anteil,2. Erneuerbare,237,davon Strom (erneuerb. Anteil),2. Erneuerbare!L237,2. Erneuerbare!M237,
10.7,Brennstoffe,Endenergie,Erneuerbare Quellen,alle Anwendungsbereiche,2. Erneuerbare,48,Biogene Brennstoffe (fest),2. Erneuerbare!L48,2. Erneuerbare!M48,
10.7.1,davon Wasserstoff,Endenergie,Erneuerbare Quellen,GWh/a,2. Erneuerbare,251,davon Wasserstoff,2. Erneuerbare!L251,2. Erneuerbare!M251,
10.7.2,davon Kohlenwasserstoffe,Endenergie,Erneuerbare Quellen,gasförmig,2. Erneuerbare,241,davon Kohlenwasserstoffe (gasförmig),2. Erneuerbare!L241,2. Erneuerbare!M241,
10.7.3,davon Kohlenwasserstoffe,Endenergie,Erneuerbare Quellen,flüssig,2. Erneuerbare,241,davon Kohlenwasserstoffe (gasförmig),2. Erneuerbare!L241,2. Erneuerbare!M241,
10.7.4,davon Kohlenwasserstoffe,Endenergie,Erneuerbare Quellen,fest,2. Erneuerbare,241,davon Kohlenwasserstoffe (gasförmig),2. Erneuerbare!L241,2. Erneuerbare!M241,
10.8,Grundstoff Methan,Endenergie,Erneuerbare Quellen,stoffliche Verwendung,2. Erneuerbare,272,Grundstoff Methan (stoffliche Verwendung),2. Erneuerbare!L272,2. Erneuerbare!M272,
10.9,Primärenergie-Einsatz Biobrennstoffe,Endenergie,Erneuerbare Quellen,GWh/a,2. Erneuerbare,274,Primärenergie-Einsatz Biobrennstoffe,2. Erneuerbare!L274,2. Erneuerbare!M274,
10.9.1,Brennstoffe,Endenergie,Erneuerbare Quellen,alle Anwendungsbereiche,2. Erneuerbare,48,Biogene Brennstoffe (fest),2. Erneuerbare!L48,2. Erneuerbare!M48,
10.9.1.1,davon Kohlenwasserstoffe,Endenergie,Erneuerbare Quellen,gasförmig,2. Erneuerbare,241,davon Kohlenwasserstoffe (gasförmig),2. Erneuerbare!L241,2. Erneuerbare!M241,
10.9.1.2,davon Kohlenwasserstoffe,Endenergie,Erneuerbare Quellen,flüssig,2. Erneuerbare,241,davon Kohlenwasserstoffe (gasförmig),2. Erneuerbare!L241,2. Erneuerbare!M241,
10.9.1.3,davon Kohlenwasserstoffe,Endenergie,Erneuerbare Quellen,fest,2. Erneuerbare,241,davon Kohlenwasserstoffe (gasförmig),2. Erneuerbare!L241,2. Erneuerbare!M241,
1.1,Solare Dachflächen,Solar,Dachflächen,ha,2. Erneuerbare,6,Solare Dachflächen,2. Erneuerbare!L6,2. Erneuerbare!M6,
11,fossil fuel,fossil,,gwh/a,,,,,,NO_SECTION_MATCH: cat='fossil' sub='' name='fossil fuel' (fallback section walk did not find a row)
1.1.1,Solarthermie,Solar,Solarthermie,-,2. Erneuerbare,7,Solarthermie,2. Erneuerbare!L7,2. Erneuerbare!M7,
11.1,fossil wood,fossil,,Gwh/a,,,,,,NO_SECTION_MATCH: cat='fossil' sub='' name='fossil wood' (fallback section walk did not find a row)
1.1.1.1,Anteil an solaren Dachflächen,Solar,Dachflächen,%,2. Erneuerbare,8,Anteil an solaren Dachflächen,2. Erneuerbare!L8,2. Erneuerbare!M8,
1.1.1.1.1,Energieertrag,Solar,,MWh/ha/a,2. Erneuerbare,9,Energieertrag,2. Erneuerbare!L9,2. Erneuerbare!M9,
1.1.1.1.2,Gebäudewärme,Solar,,GWh/a,2. Erneuerbare,10,Gebäudewärme,2. Erneuerbare!L10,2. Erneuerbare!M10,
1.1.2,Solarstrom,Solar,Solarstrom,-,2. Erneuerbare,12,Solarstrom,2. Erneuerbare!L12,2. Erneuerbare!M12,
11.2,fossil plastic,fossil,,gwh/a,,,,,,NO_SECTION_MATCH: cat='fossil' sub='' name='fossil plastic' (fallback section walk did not find a row)
1.1.2.1,Anteil an solaren Dachflächen (Strom),Solar,Dachflächen,%,2. Erneuerbare,8,Anteil an solaren Dachflächen,2. Erneuerbare!L8,2. Erneuerbare!M8,
1.1.2.1.1,Energieertrag,Solar,,MWh/ha/a,2. Erneuerbare,9,Energieertrag,2. Erneuerbare!L9,2. Erneuerbare!M9,
1.1.2.1.2,Bruttostromerzeugung,Solar,,GWh/a,2. Erneuerbare,15,Bruttostromerzeugung,2. Erneuerbare!L15,2. Erneuerbare!M15,
1.1.2.1.2.1,Vollbetriebstunden jährlich,Solar,,h/a,2. Erneuerbare,16,/ Vollbetriebstunden jährlich,2. Erneuerbare!L16,2. Erneuerbare!M16,
1.1.2.1.2.2,Installierte Leistung,Solar,,MW,2. Erneuerbare,17,Installierte Leistung,2. Erneuerbare!L17,2. Erneuerbare!M17,
11.3,total fossil,fossil,,gwh/a,,,,,,NO_SECTION_MATCH: cat='fossil' sub='' name='total fossil' (fallback section walk did not find a row)
11.4,fossil 5,fossil,,gwh/a,,,,,,NO_SECTION_MATCH: cat='fossil' sub='' name='fossil 5' (fallback section walk did not find a row)
1.2,Solar genutzte Freiflächen,Solar,Freiflächen,ha,2. Erneuerbare,19,Solar genutzte Freiflächen,2. Erneuerbare!L19,2. Erneuerbare!M19,
12,Naina,Renewable,,gwh/a,,,,,,NO_SECTION_MATCH: cat='Renewable' sub='' name='Naina' (fallback section walk did not find a row)
1.2.1,Solarstrom,Solar,Solarstrom,-,2. Erneuerbare,12,Solarstrom,2. Erneuerbare!L12,2. Erneuerbare!M12,
1.2.1.1,Energieertrag,Solar,,MWh/ha/a,2. Erneuerbare,9,Energieertrag,2. Erneuerbare!L9,2. Erneuerbare!M9,
1.2.1.2,Bruttostromerzeugung,Solar,,GWh/a,2. Erneuerbare,15,Bruttostromerzeugung,2. Erneuerbare!L15,2. Erneuerbare!M15,
1.2.1.2.1,Vollbetriebstunden jährlich,Solar,,h/a,2. Erneuerbare,16,/ Vollbetriebstunden jährlich,2. Erneuerbare!L16,2. Erneuerbare!M16,
1.2.1.2.2,Installierte Leistung,Solar,,MW,2. Erneuerbare,17,Installierte Leistung,2. Erneuerbare!L17,2. Erneuerbare!M17,
2.1,Onshore-Windstrom,Solar,Onshore,,2. Erneuerbare,27,Onshore-Windstrom,2. Erneuerbare!L27,2. Erneuerbare!M27,
2.1.1,Windparkfläche,Solar,Onshore,ha,2. Erneuerbare,28,Windparkfläche,2. Erneuerbare!L28,2. Erneuerbare!M28,
2.1.1.1,spezifischer Flächenbedarf,Solar,Onshore,ha/MW,2. Erneuerbare,29,spezifischer Flächenbedarf,2. Erneuerbare!L29,2. Erneuerbare!M29,
2.1.1.2,Installierte Leistung,Solar,Onshore,MW,2. Erneuerbare,17,Installierte Leistung,2. Erneuerbare!L17,2. Erneuerbare!M17,
2.1.1.2.1,Vollbetriebstunden jährlich,Solar,Onshore,h/a,2. Erneuerbare,16,/ Vollbetriebstunden jährlich,2. Erneuerbare!L16,2. Erneuerbare!M16,
2.1.1.2.2,Bruttostromerzeugung jährlich,Solar,Onshore,GWh/a,2. Erneuerbare,15,Bruttostromerzeugung,2. Erneuerbare!L15,2. Erneuerbare!M15,
2.1.1.2.3,Energieertrag,Solar,Onshore,MWh/ha/a,2. Erneuerbare,9,Energieertrag,2. Erneuerbare!L9,2. Erneuerbare!M9,
2.2,Offshore-Windstrom,Solar,Offshore,,2. Erneuerbare,34,Offshore-Windstrom,2. Erneuerbare!L34,2. Erneuerbare!M34,
2.2.1,Install. Offshore-Leistung Deutschland,Solar,Offshore,MW,2. Erneuerbare,35,Install. Offshore-Leistung Deutschland,2. Erneuerbare!L35,2. Erneuerbare!M35,
2.2.1.1,Vollbetriebstunden jährlich,Solar,Offshore,h/a,2. Erneuerbare,16,/ Vollbetriebstunden jährlich,2. Erneuerbare!L16,2. Erneuerbare!M16,
2.2.1.2,Bruttostromerzeugung Deutschland,Solar,Offshore,GWh/a,2. Erneuerbare,37,Bruttostromerzeugung Deutschland,2. Erneuerbare!L37,2. Erneuerbare!M37,
2.2.1.2.1,Einwohner Deutschland,Solar,Offshore,,2. Erneuerbare,38,/ Einwohner Deutschland,2. Erneuerbare!L38,2. Erneuerbare!M38,
2.2.1.2.2,Energieverbraucher Deutschland 100%EE,Solar,Offshore,,2. Erneuerbare,39,Energieverbraucher Deutschland 100%EE,2. Erneuerbare!L39,2. Erneuerbare!M39,
2.2.1.2.3,Bruttostromerz.Anteil Deutschland 100%EE,Solar,Offshore,GWh/a,2. Erneuerbare,40,Bruttostromerz.Anteil Deutschland 100%EE,2. Erneuerbare!L40,2. Erneuerbare!M40,
3.,Laufwasser,Solar,Laufwasser,,2. Erneuerbare,42,Laufwasser,2. Erneuerbare!L42,2. Erneuerbare!M42,
3.1,Bodenfläche Nds.,Solar,Laufwasser,ha,2. Erneuerbare,43,Bodenfläche Nds.,2. Erneuerbare!L43,2. Erneuerbare!M43,
3.1.1,Nutzanteil am techn. Potenzial,Solar,Laufwasser,%,2. Erneuerbare,44,Nutzanteil am techn. Potenzial,2. Erneuerbare!L44,2. Erneuerbare!M44,
3.1.1.1,Energieertrag (techn. Potenzial),Solar,Laufwasser,MWh/ha/a,2. Erneuerbare,45,Energieertrag (techn.Potenzial),2. Erneuerbare!L45,2. Erneuerbare!M45,
3.1.1.2,Bruttostromerzeugung,Solar,Laufwasser,GWh/a,2. Erneuerbare,15,Bruttostromerzeugung,2. Erneuerbare!L15,2. Erneuerbare!M15,
4.,Biogene Brennstoffe (fest),Solar,Biogene Brennstoffe,,2. Erneuerbare,48,Biogene Brennstoffe (fest),2. Erneuerbare!L48,2. Erneuerbare!M48,
4.1,Energieholz,Solar,Energieholz,,2. Erneuerbare,49,Energieholz,2. Erneuerbare!L49,2. Erneuerbare!M49,
4.1.1,Aus Forstwirtschaft,Solar,Energieholz,,2. Erneuerbare,50,Aus Forstwirtschaft,2. Erneuerbare!L50,2. Erneuerbare!M50,
4.1.1.1,Nutzbare Forstfläche,Solar,Energieholz,ha,2. Erneuerbare,51,Nutzbare Forstfläche,2. Erneuerbare!L51,2. Erneuerbare!M51,
4.1.1.1.1,Energet. genutzter Anteil am Zuwachs,Solar,Energieholz,%,2. Erneuerbare,52,Energet.genutzter Anteil am Zuwachs,2. Erneuerbare!L52,2. Erneuerbare!M52,
4.1.1.1.1.1,Energieertrag,Solar,Energieholz,MWh/ha/a,2. Erneuerbare,9,Energieertrag,2. Erneuerbare!L9,2. Erneuerbare!M9,
4.1.1.1.1.2,Energieholzaufkommen,Solar,Energieholz,GWh/a,2. Erneuerbare,54,Energieholzaufkommen,2. Erneuerbare!L54,2. Erneuerbare!M54,
4.1.2,"Aus Ackerbau (KUP, Miscanthus usw.)",Solar,Energieholz,,2. Erneuerbare,56,"Aus Ackerbau (KUP, Miscanthus usw.)",2. Erneuerbare!L56,2. Erneuerbare!M56,
4.1.2.1,Anbaufläche,Solar,Energieholz,ha,2. Erneuerbare,57,Anbaufläche,2. Erneuerbare!L57,2. Erneuerbare!M57,
4.1.2.1.1,Energieertrag,Solar,Energieholz,MWh/ha/a,2. Erneuerbare,9,Energieertrag,2. Erneuerbare!L9,2. Erneuerbare!M9,
4.1.2.1.2,Energieholzaufkommen,Solar,Energieholz,GWh/a,2. Erneuerbare,54,Energieholzaufkommen,2. Erneuerbare!L54,2. Erneuerbare!M54,
4.1.3,Energieholzaufkommen gesamt,Solar,Energieholz,GWh/a,2. Erneuerbare,61,Energieholzaufkommen gesamt,2. Erneuerbare!L61,2. Erneuerbare!M61,
4.1.3.1,davon für Gebäudewärme,Solar,Energieholz,%,2. Erneuerbare,62,davon für Gebäudewärme,2. Erneuerbare!L62,2. Erneuerbare!M62,
4.1.3.2,davon für Prozesswärme,Solar,Energieholz,%,2. Erneuerbare,63,davon für Prozesswärme,2. Erneuerbare!L63,2. Erneuerbare!M63,
4.1.3.3,davon für Verstromung,Solar,Energieholz,%,2. Erneuerbare,64,davon für Verstromung,2. Erneuerbare!L64,2. Erneuerbare!M64,
4.1.3.4,davon für Wärmenetze GW,Solar,Energieholz,%,2. Erneuerbare,65,davon für Wärmenetze GW,2. Erneuerbare!L65,2. Erneuerbare!M65,
4.2,Stroh aus Getreideanbau,Solar,Stroh,,2. Erneuerbare,67,Stroh aus Getreideanbau,2. Erneuerbare!L67,2. Erneuerbare!M67,
4.2.1,Getreide-Anbaufläche,Solar,Stroh,ha,2. Erneuerbare,68,Getreide-Anbaufläche,2. Erneuerbare!L68,2. Erneuerbare!M68,
4.2.1.1,Energet. genutzter Teil am Strohanfall,Solar,Stroh,%,,,,,,NO_SECTION_MATCH: cat='Solar' sub='Stroh' name='Energet. genutzter Teil am Strohanfall' (fallback section walk did not find a row)
4.2.1.1.1,Energieertrag,Solar,Stroh,MWh/ha/a,2. Erneuerbare,9,Energieertrag,2. Erneuerbare!L9,2. Erneuerbare!M9,
4.2.1.1.2,Strohbrennstoff-Aufkommen,Solar,Stroh,GWh/a,2. Erneuerbare,71,Strohbrennstoff-Aufkommen,2. Erneuerbare!L71,2. Erneuerbare!M71,
4.2.1.1.2.1,davon für Gebäudewärme,Solar,Stroh,%,2. Erneuerbare,62,davon für Gebäudewärme,2. Erneuerbare!L62,2. Erneuerbare!M62,
4.2.1.1.2.2,davon für Prozesswärme,Solar,Stroh,%,2. Erneuerbare,63,davon für Prozesswärme,2. Erneuerbare!L63,2. Erneuerbare!M63,
4.2.1.1.2.3,davon für Verstromung,Solar,Stroh,%,2. Erneuerbare,64,davon für Verstromung,2. Erneuerbare!L64,2. Erneuerbare!M64,
4.2.1.1.2.4,davon für Wärmenetze GW,Solar,Stroh,%,2. Erneuerbare,65,davon für Wärmenetze GW,2. Erneuerbare!L65,2. Erneuerbare!M65,
4.3,Brennstoffaufkommen (fest) NAWARO gesamt,Solar,NAWARO gesamt,GWh/a,,,,,,NO_SECTION_MATCH: cat='Solar' sub='NAWARO gesamt' name='Brennstoffaufkommen (fest) NAWARO gesamt' (fallback section walk did not find a row)
4.3.1,davon Einsatz für Gebäudewärme,Solar,NAWARO gesamt,GWh/a,2. Erneuerbare,79,davon Einsatz für Gebäudewärme,2. Erneuerbare!L79,2. Erneuerbare!M79,
4.3.2,davon Einsatz für Prozesswärme,Solar,NAWARO gesamt,GWh/a,2. Erneuerbare,81,davon Einsatz für Prozesswärme,2. Erneuerbare!L81,2. Erneuerbare!M81,
4.3.3,davon Einsatz für Verstromung,Solar,NAWARO gesamt,GWh/a,2. Erneuerbare,83,davon Einsatz für Verstromung,2. Erneuerbare!L83,2. Erneuerbare!M83,
4.3.3.1,Nutzungsgrad Kraftwerk,Solar,NAWARO gesamt,%,2. Erneuerbare,84,Nutzungsgrad Kraftwerk,2. Erneuerbare!L84,2. Erneuerbare!M84,
4.3.3.2,Bruttostromerzeugung,Solar,NAWARO gesamt,GWh/a,2. Erneuerbare,15,Bruttostromerzeugung,2. Erneuerbare!L15,2. Erneuerbare!M15,
4.3.3.3,Nutzungsgrad KWK-Abwärme effektiv,Solar,NAWARO gesamt,%,2. Erneuerbare,86,Nutzungsgrad KWK-Abwärme effektiv,2. Erneuerbare!L86,2. Erneuerbare!M86,
4.3.3.4,Wärmenetze GW (Endenergie),Solar,NAWARO gesamt,GWh/a,2. Erneuerbare,87,Wärmenetze GW (Endenergie),2. Erneuerbare!L87,2. Erneuerbare!M87,
4.3.4,davon Einsatz für Heizwerke/Wärmenetze,Solar,NAWARO gesamt,GWh/a,,,,,,NO_SECTION_MATCH: cat='Solar' sub='NAWARO gesamt' name='davon Einsatz für Heizwerke/Wärmenetze' (fallback section walk did not find a row)
4.3.4.1,Nutzungsgrad Heizwerk/Wärmenetz,Solar,NAWARO gesamt,%,2. Erneuerbare,90,Nutzungsgrad Heizwerk/Wärmenetz,2. Erneuerbare!L90,2. Erneuerbare!M90,
4.3.4.2,Wärmenetze GW (Endenergie),Solar,NAWARO gesamt,GWh/a,2. Erneuerbare,87,Wärmenetze GW (Endenergie),2. Erneuerbare!L87,2. Erneuerbare!M87,
4.4,Biogener Anteil der Abfälle (fest),Solar,Biogener Anteil Abfälle,,2. Erneuerbare,93,Biogener Anteil der Abfälle (fest),2. Erneuerbare!L93,2. Erneuerbare!M93,
